id,taxid,superkingdom,organism,title,valid
NC_028684,1701807,Viruses,Acinetobacter phage vB_AbaP_PD-6A3,"Acinetobacter phage vB_AbaP_PD-6A3, complete genome",True
NC_027373,1500800,Viruses,Propionibacterium phage PHL030N00,"Propionibacterium phage PHL030N00, complete genome",True
NC_029692,1813599,Viruses,Brazilian marseillevirus,"Brazilian marseillevirus strain BH2014, complete genome",True
KM401838,1542912,Viruses,Mycobacterium phage VohminGhazi,"Mycobacterium phage VohminGhazi, complete genome",True
NC_038371,1986290,Viruses,Clostera anastomosis granulovirus B,"Clostera anastomosis granulovirus B, complete genome",True
KR337654,1655017,Viruses,Propionibacterium phage Ouroboros,"Propionibacterium phage Ouroboros, complete genome",True
NC_026587,1548901,Viruses,Pseudomonas phage vB_PaeM_PAO1_Ab03,"Pseudomonas phage vB_PaeM_PAO1_Ab03, complete genome",True
NC_019919,1206557,Viruses,Yersinia phage phiR2-01,Yersinia phage phiR201 complete genome,True
MG839030,2079580,Viruses,Microbacterium phage Balsa,"Microbacterium phage Balsa, complete genome",True
NC_031239,1821564,Viruses,Gordonia phage Vivi2,"Gordonia phage Vivi2, complete genome",True
KU189325,1775283,Viruses,Streptomyces phage Maih,"Streptomyces phage Maih, complete genome",True
MK450427,2510582,Viruses,Mycobacterium phage Adlitam,"Mycobacterium phage Adlitam, complete genome",True
MH976517,2483676,Viruses,Mycobacterium phage Popcicle,"Mycobacterium phage Popcicle, complete genome",True
MH051261,2126957,Viruses,Mycobacterium phage Tyke,"Mycobacterium phage Tyke, complete genome",True
MK016493,2338395,Viruses,Brevibacterium phage Cantare,"Brevibacterium phage Cantare, complete genome",True
NC_007967,370623,Viruses,Streptomyces phage mu1/6,"Streptomyces phage mu1/6, complete genome",True
NC_010353,2914004,Viruses,Streptococcus phage 858,"Streptococcus phage 858, complete genome",True
MK524502,2530119,Viruses,Microbacterium phage TimoTea,"Microbacterium phage TimoTea, complete genome",True
JN699019,2923004,Viruses,Mycobacterium phage Jeffabunny,"Mycobacterium phage Jeffabunny, complete genome",True
MG872840,2081626,Viruses,Mycobacterium phage Phonnegut,"Mycobacterium phage Phonnegut, complete genome",True
MH669016,2301575,Viruses,Streptomyces phage TrvxScott,"Streptomyces phage TrvxScott, complete genome",True
JN020142,2922219,Viruses,Mycobacterium phage Mutaforma13,"Mycobacterium phage Mutaforma13, complete genome",True
MK279840,2499043,Viruses,Mycobacterium phage JacoRen57,"Mycobacterium phage JacoRen57, complete genome",True
MK450429,2478683,Viruses,Mycobacterium phage Bipolarisk,"Mycobacterium phage Bipolarisk, complete genome",True
KU998250,1838077,Viruses,Gordonia phage Rosalind,"Gordonia phage Rosalind, complete genome",True
KU160665,1772315,Viruses,Arthrobacter phage Sonny,"Arthrobacter phage Sonny, complete genome",True
NC_011107,496396,Viruses,Pseudomonas phage PT2,"Pseudomonas phage PT2, complete genome",True
