DNABERTBACTSTRAT,NT2PHAGESTRAT,NT2BACTSTRAT,MEGADNAPHAGESTRAT,DNABERTPHAGESTRAT,MEGADNABACTSTRAT,F1Score1,Average
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,TKPertStrategy,TKPertStrategy,0.9019288868231466,.9019
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,TKPertStrategy,TKPertStrategy,0.9026195230823445,.9026
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,MaxStrategy,TopBottomTruncateStrategy,TopBottomTruncateStrategy,0.9225047984644913,.9225
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TKPertStrategy,TKPertStrategy,0.9073679222932955,.9073
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,MaxStrategy,MaxStrategy,TopBottomTruncateStrategy,0.9195319097599228,.9195
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TKPertStrategy,0.9101043643263756,.9101
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,TKPertStrategy,0.9060705997312813,.9060
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,TKPertStrategy,BottomTruncateStrategy,TKPertStrategy,0.9027246948588337,.9027
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,TKPertStrategy,0.904824930814583,.9048
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,0.8840894568690095,.8840
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,0.8571428571428571,.8571
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,0.8614410134600158,.8614
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TopBottomTruncateStrategy,TKPertStrategy,BottomTruncateStrategy,0.9204572517266016,.9204
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TopBottomTruncateStrategy,TKPertStrategy,MaxStrategy,0.915354563750444,.9153
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,BottomTruncateStrategy,0.8971214017521901,.8971
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,BottomTruncateStrategy,MaxStrategy,BottomTruncateStrategy,0.8911590364484802,.8911
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,MaxStrategy,0.8823003194888178,.8823
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,TKPertStrategy,TKPertStrategy,MaxStrategy,0.9042689310224497,.9042
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,BottomTruncateStrategy,MaxStrategy,MaxStrategy,0.8730794060684313,.8730
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TopBottomTruncateStrategy,TKPertStrategy,TopBottomTruncateStrategy,0.9206273764258556,.9206
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,TKPertStrategy,TKPertStrategy,BottomTruncateStrategy,0.9025605375970339,.9025
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TopBottomTruncateStrategy,0.8837565394921526,.8837
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,BottomTruncateStrategy,MaxStrategy,TopBottomTruncateStrategy,0.8517778665601278,.8517
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,TKPertStrategy,TKPertStrategy,TopBottomTruncateStrategy,0.9101782363977486,.9101
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,MaxStrategy,TKPertStrategy,BottomTruncateStrategy,0.9169521559362079,.9169
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,TKPertStrategy,MaxStrategy,TKPertStrategy,0.9067250395232883,.9067
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,BottomTruncateStrategy,TKPertStrategy,TKPertStrategy,0.9138257575757577,.9138
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,TKPertStrategy,TopBottomTruncateStrategy,TKPertStrategy,0.91162109375,.9116
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,MaxStrategy,TKPertStrategy,MaxStrategy,0.9147667485092948,.9147
BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,TopBottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,0.8923891129032259,.8923
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,MaxStrategy,TKPertStrategy,TopBottomTruncateStrategy,0.918241965973535,.9182
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TopBottomTruncateStrategy,BottomTruncateStrategy,TKPertStrategy,0.9073110285006196,.9073
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TopBottomTruncateStrategy,TopBottomTruncateStrategy,TKPertStrategy,0.905210918114144,.9052
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,MaxStrategy,BottomTruncateStrategy,TKPertStrategy,0.9114449737388542,.9114
