DNABERTBACTSTRAT,NT2PHAGESTRAT,NT2BACTSTRAT,MEGADNAPHAGESTRAT,DNABERTPHAGESTRAT,MEGADNABACTSTRAT,F1Score1,Average
TruncateStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,Tf4idfStrategy,TKPertStrategy,0.9062193927522036,.9062
TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,TKPertStrategy,TfidfStrategy,0.9453978159126366,.9453
TruncateStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,TKPertStrategy,0.8450327583901592,.8450
TruncateStrategy,TruncateStrategy,MaxStrategy,TfidfStrategy,MaxStrategy,MaxStrategy,0.9345111896348647,.9345
TruncateStrategy,TruncateStrategy,MaxStrategy,TfidfStrategy,TruncateStrategy,Tf4idfStrategy,0.8985333012743447,.8985
TruncateStrategy,TruncateStrategy,MaxStrategy,TfidfStrategy,Tf4idfStrategy,MaxStrategy,0.9282868525896414,.9282
TruncateStrategy,TruncateStrategy,MaxStrategy,TfidfStrategy,TruncateStrategy,TfidfStrategy,0.9449519230769231,.9449
TruncateStrategy,TruncateStrategy,MaxStrategy,TfidfStrategy,TruncateStrategy,MaxStrategy,0.9379760609357998,.9379
TruncateStrategy,TruncateStrategy,TruncateStrategy,TKPertStrategy,MaxStrategy,MaxStrategy,0.9284291905821718,.9284
TruncateStrategy,TruncateStrategy,MaxStrategy,TfidfStrategy,Tf4idfStrategy,TruncateStrategy,0.9183774424931981,.9183
TruncateStrategy,TruncateStrategy,MaxStrategy,Tf4idfStrategy,TruncateStrategy,TruncateStrategy,0.9274203034937066,.9274
TruncateStrategy,TruncateStrategy,MaxStrategy,TfidfStrategy,MaxStrategy,TruncateStrategy,0.9445446890412605,.9445
TruncateStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,TruncateStrategy,TKPertStrategy,0.915121705133056,.9151
TruncateStrategy,TruncateStrategy,TruncateStrategy,TKPertStrategy,TruncateStrategy,TruncateStrategy,0.9443507588532883,.9443
TruncateStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,TKPertStrategy,MaxStrategy,0.9414175506268081,.9414
TruncateStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,Tf4idfStrategy,TKPertStrategy,0.9424762819743006,.9424
TruncateStrategy,TruncateStrategy,MaxStrategy,TfidfStrategy,TfidfStrategy,MaxStrategy,0.9454936648338513,.9454
TruncateStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,Tf4idfStrategy,TKPertStrategy,0.9289671303705527,.9289
TruncateStrategy,TruncateStrategy,MaxStrategy,TfidfStrategy,TruncateStrategy,TruncateStrategy,0.9473178927157085,.9473
TruncateStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,TKPertStrategy,TruncateStrategy,0.9267993122083026,.9267
TruncateStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,MaxStrategy,TKPertStrategy,0.939509407001667,.9395
TruncateStrategy,TruncateStrategy,TruncateStrategy,TKPertStrategy,TfidfStrategy,TruncateStrategy,0.9415436322170209,.9415
TruncateStrategy,TruncateStrategy,MaxStrategy,TfidfStrategy,TfidfStrategy,Tf4idfStrategy,0.9263552277250906,.9263
TruncateStrategy,TruncateStrategy,MaxStrategy,Tf4idfStrategy,TruncateStrategy,TfidfStrategy,0.922464277348325,.9224
TruncateStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,Tf4idfStrategy,Tf4idfStrategy,0.9436400622232859,.9436
TruncateStrategy,TruncateStrategy,MaxStrategy,TfidfStrategy,TfidfStrategy,TfidfStrategy,0.9412326803631151,.9412
TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,TKPertStrategy,0.9381739755571531,.9381
TruncateStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,Tf4idfStrategy,TfidfStrategy,0.9465703971119134,.9465
TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,TKPertStrategy,0.9421764635460314,.9421
TruncateStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,MaxStrategy,TKPertStrategy,0.9422330097087379,.9422
TruncateStrategy,TruncateStrategy,TruncateStrategy,TKPertStrategy,TfidfStrategy,MaxStrategy,0.9293785310734464,.9293
TruncateStrategy,TruncateStrategy,TruncateStrategy,TKPertStrategy,TruncateStrategy,TfidfStrategy,0.9137092853670394,.9137
TruncateStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,TKPertStrategy,0.9457122267595485,.9457
TruncateStrategy,TruncateStrategy,MaxStrategy,Tf4idfStrategy,TruncateStrategy,MaxStrategy,0.945955749002539,.9459
TruncateStrategy,TruncateStrategy,MaxStrategy,TfidfStrategy,MaxStrategy,Tf4idfStrategy,0.946594333936106,.9465
